अथ योगानुशासनम्॥१॥	Atha yogānuśāsanam||1||	And now begins (atha) the instruction (anuśāsanam) regarding Yoga (yoga)||1||"
योगश्चित्तवृत्तिनिरोधः॥२॥	Yogaścittavṛttinirodhaḥ||2||	Yoga (yogaḥ) is the suppression (nirodhaḥ) of the modifications (vṛtti) of mind (citta)||2||"
तदा द्रष्टुः स्वरूपेऽवस्थानम्॥३॥	Tadā draṣṭuḥ svarūpe'vasthānam||3||	Then (tadā), there is an abiding (avasthānam) in the essential nature (sva-rūpe) of the Seer (draṣṭuḥ)||3||"
वृत्तिसारूप्यमितरत्र॥४॥	Vṛttisārūpyamitaratra||4||	On other occasions (itaratra), there is identity (sārūpyam) (between the Seer and) the modifications (of mind) (vṛtti)||4||"
वृत्तयः पञ्चतय्यः क्लिष्टा अक्लिष्टाः॥५॥	Vṛttayaḥ pañcatayyaḥ kliṣṭā akliṣṭāḥ||5||	The (mental) modifications (vṛttayaḥ), which form a group of 5 (pañcatayyaḥ), may be or may not be based upon Kleśa-s --afflictions-- (kliṣṭāḥ akliṣṭāḥ)||5||"
प्रमाणविपर्ययविकल्पनिद्रास्मृतयः॥६॥	Pramāṇaviparyayavikalpanidrāsmṛtayaḥ||6||	Correct knowledge (pramāṇa), false knowledge (viparyaya), verbal knowledge about something that is nonexistent (vikalpa), (deep) sleep (nidrā) and recollection --smṛti-- (smṛtayaḥ) (are the five modifications of mind)||6||"
प्रत्यक्षानुमानागमाः प्रमाणानि॥७॥	Pratyakṣānumānāgamāḥ pramāṇāni||7||	Direct perception (pratyakṣa), inference (anumāna) and testimony --āgama-- (āgamāḥ) are the Pramāṇa-s (pramāṇāni)||7||"
विपर्ययो मिथ्याज्ञानमतद्रूपप्रतिष्ठम्॥८॥	Viparyayo mithyājñānamatadrūpapratiṣṭham||8||	Viparyaya (viparyayaḥ) is illusory (mithyā) knowledge (jñānam) based (pratiṣṭham) on mistaking a particular form for something completely different (atad-rūpa)||8||"
शब्दज्ञानानुपाती वस्तुशून्यो विकल्पः॥९॥	Śabdajñānānupātī vastuśūnyo vikalpaḥ||9||	Vikalpa (vikalpaḥ) proceeds (anupātī) from a verbal (śabda) cognition (jñāna) about something which is devoid (śūnyaḥ) of reality (vastu)||9||"
अभावप्रत्ययालम्बना वृत्तिर्निद्रा॥१०॥	Abhāvapratyayālambanā vṛttirnidrā||10||	The modification (vṛttiḥ) (known as) Nidrā (or deep sleep) (nidrā) is based (ālambanā) upon the mental state (pratyaya) of nonexistence (abhāva)||10||"
अनुभूतविषयासम्प्रमोषः स्मृतिः॥११॥	Anubhūtaviṣayāsampramoṣaḥ smṛtiḥ||11||	Smṛti (or recollection) (smṛtiḥ) is the reproduction, without taking anything from any other sources (asampramoṣaḥ), of the thing (viṣaya) that was (previously) experienced (anubhūta)||11||"
